Month,Unemployment_Rate,Population,Bankruptcy_Rate,House_Price_Index
11987,10.4,26232423,0.77004,44.4
21987,10.3,26254410,0.82196,45.2
31987,10.7,26281420,0.84851,46.6
41987,9.8,26313260,0.78326,47.1
51987,8.9,26346526,0.70901,47.5
61987,8.4,26379319,0.83285,47.7
71987,8.4,26412105,0.72202,48
81987,8.1,26446688,0.74527,48.2
91987,7.8,26482154,0.76957,48.7
101987,7.6,26516153,0.80668,48.9
111987,7.8,26544879,0.81824,49.1
121987,7.8,26566159,0.68621,49.1
11988,8.8,26583485,0.73843,49.3
21988,8.5,26600879,0.87892,49.8
31988,8.8,26622526,0.92403,50.3
41988,8.2,26648818,0.77377,51.2
51988,7.7,26678297,0.81639,51.9
61988,7.2,26710405,0.81204,52.3
71988,7.6,26746737,0.68793,52.5
81988,7.6,26790238,0.82455,53
91988,7.2,26839820,0.83346,53.9
101988,7,26890791,0.84527,54.3
111988,7.3,26936060,0.92515,55
121988,7.3,26971227,0.69074,55.8
11989,8.3,27001032,0.8096,56.3
21989,8.3,27030399,0.83721,57.7
31989,8.6,27065448,0.87307,58.6
41989,8.3,27106166,0.82675,59.1
51989,7.6,27148106,0.89546,59.3
61989,7.1,27189046,0.90956,59.6
71989,7.4,27230563,0.74806,59.8
81989,7.1,27276227,0.96274,59.8
91989,6.7,27325109,0.96541,60.1
101989,6.7,27371693,1.06972,60.4
111989,7.3,27407759,1.09531,60.8
121989,7.4,27428799,0.85676,61.1
11990,8.7,27442697,1.0112,61.7
21990,8.4,27459657,1.05391,61.8
31990,8.3,27487919,1.19689,61.9
41990,7.9,27526132,1.06408,61.8
51990,7.8,27567561,1.22245,61.5
61990,7.2,27607773,1.20437,60.8
71990,7.7,27647719,1.20516,60.4
81990,7.9,27690823,1.43838,59.8
91990,7.7,27736330,1.28604,59
101990,8.1,27779328,1.74302,58.6
111990,8.9,27812397,1.7823,58
121990,9.2,27831205,1.43256,57.8
11991,10.7,27841798,1.75887,56.9
21991,11.1,27852419,1.83216,55.8
31991,11.7,27870127,1.86113,56
41991,10.8,27895927,2.02754,55.8
51991,10.3,27927567,1.92426,56.2
61991,10,27963057,1.72978,56.2
71991,10.3,28000527,1.85747,56.3
81991,10.1,28038675,1.78254,56.2
91991,9.3,28074245,1.89569,56.2
101991,9.5,28105444,2.07433,56.2
111991,10,28129865,2.07075,55.9
121991,10.1,28146756,1.72062,55.9
11992,11.3,28161160,1.92712,55.8
21992,11.4,28178762,2.01357,55.8
31992,12.2,28204331,2.07982,55.9
41992,11.3,28236274,1.91385,56
51992,11,28270065,1.76583,56
61992,10.9,28302749,1.95069,56.2
71992,11.2,28335358,1.81011,56.3
81992,11.2,28370830,1.59107,56.3
91992,10.4,28408815,1.83746,56.2
101992,10.4,28446035,1.7549,56.3
111992,11.6,28477261,1.80495,56.3
121992,11.4,28499332,1.69548,56.3
11993,12.1,28516128,1.59348,56.2
21993,11.8,28532224,1.70088,56.4
31993,12.5,28552320,1.94835,56.7
41993,12.1,28576299,1.71261,57
51993,11.7,28601054,1.61078,56.8
61993,11.2,28625233,1.69675,56.9
71993,11.7,28651214,1.53362,57
81993,11.2,28683126,1.54411,57.1
91993,10.3,28721124,1.5842,57.1
101993,10.3,28759733,1.61128,57
111993,10.8,28790824,1.67935,57
121993,11.1,28809438,1.51721,56.9
11994,12.3,28821073,1.32819,57
21994,11.9,28833348,1.61722,56.9
31994,11.7,28852660,1.93778,56.9
41994,11.5,28878673,1.58595,56.9
51994,10.7,28907386,1.68953,56.9
61994,9.9,28936287,1.63912,57
71994,10.2,28966312,1.48103,56.9
81994,10.1,29000063,1.60862,57
91994,9.1,29036782,1.70783,57
101994,9.1,29072231,1.6373,56.9
111994,9.2,29100134,1.72164,56.8
121994,9.3,29116872,1.438,56.8
11995,10.5,29127702,1.50681,56.8
21995,10.3,29139543,1.75535,56.7
31995,10.6,29158233,2.07694,56.6
41995,10,29183446,1.76573,56.5
51995,9.6,29211420,2.0937,56.4
61995,9.1,29239758,1.98599,56.3
71995,9.9,29269159,1.7404,56.2
81995,9.5,29301850,2.16096,56.2
91995,8.3,29337048,1.97498,56.2
101995,8.5,29371304,2.27467,55.9
111995,8.8,29399400,2.1963,55.6
121995,9,29418219,1.79753,55.7
11996,10.3,29431749,2.13817,55.6
21996,10.2,29445231,2.32635,55.4
31996,10.3,29463483,2.30794,55.3
41996,9.7,29486799,2.41464,55.1
51996,9.3,29513468,2.51682,55
61996,9.4,29542406,2.21851,55.1
71996,9.8,29574043,2.26212,55
81996,9.3,29609826,2.24959,55
91996,9,29648004,2.31145,55
101996,9.2,29684185,2.68965,55
111996,9.5,29712161,2.43739,55.2
121996,9.3,29728400,2.32808,55.2
11997,10.3,29738336,2.40666,55.3
21997,10.3,29749176,2.56679,55.4
31997,10,29766867,2.52126,55.5
41997,9.8,29791044,3.02306,55.5
51997,9.5,29817915,2.70005,55.6
61997,8.8,29845080,2.51767,55.6
71997,9.1,29873415,2.44465,55.6
81997,8.8,29905376,2.44839,55.6
91997,8.1,29940156,2.79491,55.6
101997,8.2,29973390,2.60164,55.6
111997,8.5,29998718,2.17743,55.8
121997,8,30012388,2.07281,55.9
11998,9.5,30019340,1.93475,56
21998,9.2,30026512,2.31096,56
31998,9,30039473,2.65551,56
41998,8.6,30058198,2.52676,56
51998,8.4,30079835,2.46976,56.1
61998,8,30102518,2.62935,56.2
71998,8.4,30126850,2.15057,56.2
81998,8,30154662,2.01428,56.2
91998,7.5,30184965,2.26073,56.2
101998,7.4,30213727,2.27645,56.2
111998,7.7,30235199,2.29567,56.2
121998,7.7,30246109,1.99464,56.3
11999,8.6,30251373,1.92388,56.3
21999,8.5,30257846,2.29891,56.3
31999,8.4,30270910,2.6831,56.4
41999,8.6,30290568,2.43937,56.4
51999,8.1,30314039,2.26793,56.4
61999,7.2,30339503,2.35798,56.4
71999,7.8,30367669,2.08643,56.5
81999,7.6,30400554,2.12496,56.7
91999,6.8,30436780,2.37542,56.8
101999,6.6,30471181,2.34156,56.9
111999,6.6,30496522,2.4875,57.1
121999,6.3,30508757,2.03319,57.2
12000,7.3,30514376,2.06165,57.2
22000,7.3,30522644,2.50175,57.4
32000,7.3,30540388,2.77403,57.5
42000,7.1,30565941,2.27704,57.6
52000,6.7,30594231,2.56519,57.8
62000,6.3,30621911,2.59977,57.8
72000,7,30650698,2.13959,57.9
82000,7.2,30684517,2.44847,58.1
92000,6.3,30723183,2.43204,58.2
102000,6.4,30760813,2.52692,58.3
112000,6.5,30788819,2.52397,58.5
122000,6.4,30802429,1.81836,58.6
12001,7.5,30809386,2.30709,58.7
22001,7.5,30820356,2.38252,58.8
32001,7.6,30843183,2.74972,59
42001,7.4,30875945,2.47442,59.2
52001,7.1,30911573,2.70352,59.3
62001,6.7,30945451,2.5936,59.5
72001,7.3,30979383,2.30476,59.6
82001,7.5,31017925,2.54337,59.7
92001,6.6,31061109,2.37113,59.9
102001,6.7,31102946,2.86307,59.9
112001,7.2,31134497,2.72945,60.1
122001,7.6,31150618,2.14506,60.2
12002,8.7,31158690,2.45614,60.4
22002,8.4,31169030,2.44056,60.8
32002,8.4,31189508,2.56368,61
42002,8,31219067,2.69867,61.4
52002,7.9,31252044,2.65615,61.8
62002,7.1,31284578,2.34301,61.9
72002,7.8,31317403,2.3926,62
82002,7.7,31353332,2.41697,62.3
92002,6.9,31391452,2.5284,62.4
102002,6.9,31426651,2.74417,62.7
112002,7.1,31451530,2.43994,63.1
122002,7.1,31462134,2.14258,63.3
12003,8.1,31465870,2.41722,63.4
22003,7.9,31473024,2.67467,63.8
32003,7.9,31490949,2.83828,63.9
42003,7.9,31518018,2.83203,64.1
52003,8,31548091,2.74216,64.5
62003,7.1,31577014,2.7349,64.7
72003,7.8,31606062,2.65835,64.9
82003,8.1,31638833,2.39484,65.2
92003,7.3,31675264,2.71979,65.5
102003,6.9,31710703,2.9829,65.8
112003,7.1,31738152,2.58301,66.3
122003,6.9,31753552,2.31659,66.5
12004,7.9,31762608,2.31404,66.7
22004,7.8,31773357,2.71265,66.9
32004,7.8,31792087,3.24609,67.2
42004,7.5,31817769,2.85469,67.7
52004,7.3,31846365,2.62605,68.2
62004,6.7,31875188,2.78398,68.7
72004,7.3,31905381,2.38424,68.8
82004,7.5,31939882,2.47966,69.1
92004,6.4,31977968,2.63556,69.3
102004,6.5,32014671,2.62317,69.5
112004,6.8,32042740,2.75289,69.8
122004,6.7,32057929,2.28867,69.9
12005,7.5,32065962,2.32271,70.1
22005,7.4,32074829,2.69401,70.3
32005,7.4,32090986,2.92886,70.6
42005,7.1,32114574,2.98743,71
52005,7,32142431,2.80097,71.3
62005,6.3,32172535,2.80705,71.9
